timestamp,temperature,smoke_ppm,co_ppm
0,20.15,4.71,2.25
1,19.14,4.73,2.96
2,19.33,4.98,5.55
3,20.37,4.73,2.74
4,20.09,4.64,3.94
5,19.91,5.05,2.33
6,20.01,4.87,2.89
7,20.17,5.75,5.22
8,19.73,3.67,1.58
9,19.61,5.55,5.14
10,20.1,5.62,4.08
11,19.51,3.96,1.82
12,20.2,4.83,3.53
13,19.15,4.81,3.86
14,20.51,4.3,3.2
15,20.24,4.61,1.2
16,20.13,4.44,1.94
17,20.49,5.88,3.28
18,20.83,5.47,3.21
19,20.51,5.64,4.0
20,19.08,5.36,3.39
21,19.36,4.44,1.33
22,19.69,4.74,3.22
23,20.01,5.24,3.76
24,20.26,4.39,3.19
25,19.64,5.36,4.29
26,20.09,4.88,3.76
27,19.62,4.81,3.35
28,19.69,5.36,3.14
29,19.3,5.22,1.47
30,19.54,4.82,3.32
31,19.32,5.58,3.56
32,19.51,4.46,2.95
33,20.53,5.31,1.91
34,19.53,5.3,2.1
35,21.32,4.85,3.96
36,20.25,5.16,3.06
37,20.09,4.37,3.31
38,19.57,5.46,3.31
39,20.35,4.91,2.97
40,25.0,8.95,6.31
41,27.89,17.89,10.22
42,30.79,20.17,12.2
43,33.68,24.55,14.27
44,36.58,30.04,17.59
45,39.47,40.16,23.79
46,42.37,42.18,25.53
47,45.26,54.04,31.94
48,48.16,52.15,32.55
49,51.05,65.5,38.4
50,53.95,68.32,40.8
51,56.84,73.49,43.65
52,59.74,78.38,48.48
53,62.63,86.06,51.83
54,65.53,90.98,55.62
55,68.42,99.05,57.94
56,71.32,102.86,61.98
57,74.21,108.72,66.12
58,77.11,113.48,68.17
59,80.0,119.89,73.0
