timestamp,temperature,vibration,rpm
0,-17.92,0.259,1178.0
1,-18.15,0.277,1173.0
2,-18.21,0.283,1171.0
3,-18.32,0.316,1162.0
4,-17.91,0.316,1161.0
5,-17.95,0.304,1165.0
6,-17.82,0.331,1157.0
7,-17.88,0.303,1165.0
8,-17.61,0.308,1164.0
9,-17.93,0.27,1174.0
10,-17.83,0.279,1172.0
11,-17.93,0.298,1166.0
12,-17.97,0.289,1169.0
13,-18.09,0.354,1151.0
14,-17.87,0.318,1161.0
15,-17.98,0.321,1160.0
16,-18.2,0.296,1167.0
17,-17.96,0.313,1162.0
18,-18.21,0.347,1153.0
19,-17.96,0.28,1172.0
20,-17.78,0.338,1155.0
21,-17.85,0.256,1178.0
22,-18.27,0.318,1161.0
23,-18.29,0.331,1157.0
24,-18.48,0.331,1157.0
25,-18.07,0.329,1158.0
26,-18.01,0.257,1178.0
27,-18.37,0.29,1169.0
28,-18.13,0.349,1152.0
29,-18.35,0.333,1157.0
30,-18.13,0.282,1171.0
31,-17.77,0.279,1172.0
32,-17.97,0.315,1162.0
33,-17.68,0.297,1167.0
34,-17.86,0.295,1167.0
35,-18.09,0.279,1172.0
36,-17.69,0.309,1163.0
37,-17.82,0.326,1159.0
38,-18.35,0.301,1166.0
39,-18.07,0.322,1160.0
40,-18.15,0.301,1166.0
41,-18.04,0.381,1143.0
42,-17.94,0.321,1160.0
43,-17.78,0.342,1154.0
44,-17.95,0.251,1180.0
45,-18.06,0.468,1119.0
46,-17.82,0.599,1082.0
47,-18.06,0.674,1061.0
48,-17.87,0.714,1050.0
49,-18.04,0.911,995.0
50,-17.75,1.117,937.0
51,-17.98,1.166,923.0
52,-18.11,1.277,892.0
53,-18.25,1.409,856.0
54,-17.97,1.455,843.0
55,-18.1,1.63,794.0
56,-17.73,1.684,778.0
57,-17.87,1.821,740.0
58,-17.95,1.844,734.0
59,-18.06,2.004,689.0
