timestamp,temperature,humidity,stress
0,-14.79,44.58,19.57
1,-15.18,44.78,18.61
2,-15.0,41.23,20.31
3,-15.09,42.75,19.99
4,-15.45,43.89,21.45
5,-15.41,43.61,20.3
6,-15.11,42.36,19.17
7,-15.52,45.28,18.4
8,-15.27,41.68,20.61
9,-15.43,41.73,19.68
10,-15.58,42.89,19.93
11,-15.52,41.84,19.39
12,-15.51,40.18,18.0
13,-15.64,44.36,20.91
14,-15.66,42.26,20.48
15,-15.56,44.15,20.22
16,-15.86,44.59,20.66
17,-15.8,39.8,18.75
18,-15.97,43.35,21.97
19,-15.84,41.28,19.68
20,-16.05,42.77,20.36
21,-15.85,43.5,20.75
22,-15.78,40.83,17.28
23,-16.59,40.32,21.68
24,-15.8,42.27,20.06
25,-15.91,41.64,18.3
26,-16.55,41.24,19.64
27,-15.65,42.92,22.73
28,-16.35,41.95,19.76
29,-16.32,43.22,18.58
30,-16.01,43.53,19.84
31,-16.76,40.89,20.39
32,-16.96,41.21,19.38
33,-16.77,42.86,19.4
34,-16.67,42.72,21.18
35,-16.66,42.58,20.83
36,-16.62,45.13,19.99
37,-16.37,45.26,19.93
38,-17.16,38.97,20.15
39,-17.35,42.33,19.57
40,-16.94,41.78,23.99
41,-17.09,40.28,25.4
42,-17.16,39.05,28.0
43,-17.6,37.84,26.62
44,-17.03,41.61,29.99
45,-17.09,41.25,31.99
46,-17.42,42.58,30.72
47,-16.57,41.55,33.03
48,-17.8,43.62,34.36
49,-17.18,44.34,35.21
50,-17.72,40.72,36.15
51,-17.85,41.0,36.9
52,-17.99,44.7,36.95
53,-17.38,40.4,41.0
54,-17.93,45.47,38.41
55,-17.94,46.18,43.46
56,-17.97,41.41,45.13
57,-17.77,42.3,44.44
58,-17.6,42.89,47.3
59,-17.89,39.61,48.72
