timestamp,temperature,surface_ice_index,acceleration
0,-11.84,0.9,0.083
1,-11.54,0.89,0.089
2,-12.03,0.79,0.115
3,-11.88,0.85,0.112
4,-11.79,0.83,0.1
5,-12.12,0.87,0.102
6,-11.93,0.75,0.126
7,-12.0,0.83,0.088
8,-11.97,0.85,0.111
9,-12.23,0.71,0.096
10,-11.99,0.74,0.096
11,-11.85,0.7,0.122
12,-11.56,0.79,0.117
13,-11.71,0.84,0.116
14,-11.35,0.88,0.126
15,-12.23,0.8,0.1
16,-11.74,0.88,0.114
17,-11.94,0.73,0.094
18,-11.34,0.71,0.106
19,-12.24,0.8,0.097
20,-12.25,0.82,0.102
21,-12.18,0.8,0.112
22,-12.64,0.7,0.084
23,-12.16,0.8,0.142
24,-12.23,0.73,0.08
25,-11.95,0.83,0.076
26,-11.9,0.82,0.123
27,-11.44,0.75,0.116
28,-11.71,0.77,0.112
29,-12.17,0.75,0.113
30,-12.27,0.8,0.9
31,-11.85,0.85,2.582
32,-12.4,0.75,1.602
33,-11.45,0.83,0.786
34,-11.65,0.77,0.12
35,-12.14,0.76,0.097
36,-12.51,0.79,0.083
37,-11.59,0.75,0.094
38,-12.03,0.77,0.108
39,-11.63,0.74,0.089
40,-12.48,0.9,0.084
41,-12.18,0.8,0.105
42,-12.0,0.77,0.105
43,-11.99,0.81,0.09
44,-12.14,0.79,0.091
45,-11.81,0.79,0.105
46,-12.32,0.83,0.071
47,-12.04,0.84,0.072
48,-11.96,0.77,0.086
49,-11.85,0.77,0.096
50,-11.79,0.79,0.106
51,-12.34,0.68,0.13
52,-12.46,0.72,0.117
53,-11.62,0.87,0.097
54,-11.9,0.88,0.1
55,-12.22,0.79,0.08
56,-11.53,0.83,0.1
57,-11.97,0.82,0.094
58,-11.65,0.95,0.106
59,-11.98,0.86,0.083
