timestamp,temperature,surface_ice_index,acceleration
0,-11.34,0.81,0.092
1,-12.06,0.85,0.077
2,-12.24,0.83,0.105
3,-11.66,0.85,0.079
4,-12.03,0.76,0.09
5,-11.98,0.77,0.14
6,-11.47,0.73,0.087
7,-11.99,0.83,0.143
8,-12.04,0.85,0.115
9,-11.98,0.88,0.127
10,-12.16,0.73,0.11
11,-12.06,0.89,0.067
12,-11.96,0.77,0.098
13,-11.93,0.72,0.073
14,-12.03,0.85,0.088
15,-12.66,0.81,0.132
16,-11.95,0.71,0.098
17,-10.92,0.72,0.081
18,-12.0,0.77,0.101
19,-11.98,0.72,0.1
20,-11.93,0.8,0.113
21,-11.69,0.92,0.124
22,-11.5,0.92,0.078
23,-12.02,0.73,0.083
24,-11.68,0.81,0.069
25,-12.05,0.8,0.128
26,-12.23,0.71,0.147
27,-11.68,0.73,0.093
28,-11.99,0.75,0.097
29,-11.89,0.73,0.095
30,-11.37,0.85,1.095
31,-11.87,0.74,3.293
32,-12.49,0.77,2.205
33,-11.67,0.87,1.011
34,-12.37,0.77,0.119
35,-12.22,0.8,0.095
36,-11.69,0.8,0.113
37,-12.18,0.8,0.079
38,-11.97,0.82,0.088
39,-12.13,0.74,0.125
40,-11.54,0.89,0.076
41,-12.09,0.72,0.073
42,-11.77,0.81,0.08
43,-12.29,0.78,0.094
44,-11.57,0.83,0.115
45,-11.71,0.82,0.099
46,-11.77,0.77,0.13
47,-11.99,0.72,0.118
48,-11.94,0.85,0.105
49,-11.57,0.75,0.129
50,-11.94,0.72,0.093
51,-12.31,0.75,0.05
52,-11.97,0.82,0.112
53,-12.28,0.76,0.1
54,-11.91,0.88,0.139
55,-12.45,0.8,0.129
56,-11.9,0.77,0.105
57,-11.73,0.81,0.087
58,-11.68,0.81,0.138
59,-11.76,0.82,0.106
