timestamp,temperature,humidity,stress
0,-14.94,38.8,22.08
1,-14.87,42.11,17.93
2,-15.32,44.08,19.99
3,-15.96,40.72,19.68
4,-16.21,42.09,22.03
5,-15.97,42.21,20.12
6,-16.0,42.42,18.6
7,-16.99,44.32,20.56
8,-16.87,42.36,20.34
9,-16.67,39.49,21.32
10,-17.31,39.96,18.3
11,-16.89,42.54,21.02
12,-17.44,38.06,21.11
13,-17.5,42.08,19.38
14,-18.29,42.25,19.1
15,-17.76,43.07,19.38
16,-18.3,41.26,21.1
17,-18.63,42.22,20.83
18,-18.73,40.59,19.54
19,-19.09,40.5,20.9
20,-18.98,43.99,21.31
21,-19.64,40.92,19.71
22,-19.91,42.76,21.2
23,-20.11,44.33,19.61
24,-20.2,45.38,19.66
25,-20.47,45.0,19.88
26,-21.27,40.83,20.31
27,-20.6,39.0,17.95
28,-21.44,41.46,18.95
29,-21.52,41.11,17.66
30,-21.7,41.92,20.64
31,-21.58,41.52,21.27
32,-22.67,41.79,21.46
33,-22.68,38.35,18.04
34,-21.76,42.72,20.05
35,-22.3,45.85,18.82
36,-22.4,45.65,18.65
37,-23.22,43.27,19.43
38,-22.99,43.5,18.7
39,-23.64,40.49,22.04
40,-23.93,41.13,22.52
41,-24.57,46.56,25.06
42,-24.27,42.72,27.92
43,-24.54,44.67,30.2
44,-25.35,42.27,32.23
45,-25.19,43.22,33.06
46,-25.21,43.67,36.55
47,-25.69,43.41,38.63
48,-25.34,39.94,41.12
49,-25.88,41.6,42.29
50,-25.91,46.45,45.47
51,-25.87,42.03,45.13
52,-26.34,44.54,49.93
53,-27.08,41.84,51.53
54,-26.68,39.62,53.05
55,-27.28,40.41,55.25
56,-27.83,39.02,57.81
57,-27.61,38.37,59.74
58,-27.63,41.39,59.89
59,-27.87,40.54,64.1
