timestamp,temperature,vibration,rpm
0,-18.16,0.319,1120.0
1,-18.02,0.274,1131.0
2,-17.9,0.268,1133.0
3,-17.83,0.314,1121.0
4,-18.24,0.293,1127.0
5,-18.07,0.321,1120.0
6,-18.09,0.314,1121.0
7,-18.13,0.298,1126.0
8,-17.65,0.275,1131.0
9,-17.92,0.255,1136.0
10,-18.25,0.287,1128.0
11,-17.82,0.326,1119.0
12,-17.58,0.306,1123.0
13,-17.79,0.263,1134.0
14,-18.3,0.305,1124.0
15,-18.1,0.312,1122.0
16,-17.75,0.273,1132.0
17,-18.14,0.305,1124.0
18,-17.91,0.302,1125.0
19,-17.85,0.266,1134.0
20,-18.19,0.311,1122.0
21,-18.01,0.317,1121.0
22,-18.65,0.332,1117.0
23,-18.2,0.332,1117.0
24,-18.05,0.259,1135.0
25,-18.25,0.272,1132.0
26,-17.67,0.315,1121.0
27,-18.29,0.315,1121.0
28,-18.09,0.315,1121.0
29,-17.97,0.416,1096.0
30,-17.71,0.317,1121.0
31,-18.29,0.334,1116.0
32,-17.77,0.329,1118.0
33,-18.0,0.32,1120.0
34,-18.2,0.291,1127.0
35,-17.91,0.323,1119.0
36,-17.96,0.277,1131.0
37,-18.12,0.293,1127.0
38,-17.99,0.285,1129.0
39,-18.08,0.302,1124.0
40,-17.98,0.369,1108.0
41,-17.87,0.244,1139.0
42,-17.68,0.321,1120.0
43,-18.25,0.252,1137.0
44,-17.57,0.286,1129.0
45,-18.39,0.554,1061.0
46,-18.03,0.646,1038.0
47,-17.88,0.732,1017.0
48,-17.94,0.893,977.0
49,-18.12,1.105,924.0
50,-18.04,1.178,906.0
51,-18.1,1.368,858.0
52,-18.12,1.502,824.0
53,-17.83,1.61,797.0
54,-17.93,1.893,727.0
55,-18.14,1.96,710.0
56,-17.82,1.97,707.0
57,-17.94,2.224,644.0
58,-17.84,2.324,619.0
59,-17.87,2.543,564.0
