timestamp,temperature,smoke_ppm,co_ppm
0,19.37,4.86,2.07
1,19.96,4.94,2.1
2,20.11,5.2,3.12
3,20.74,5.89,5.54
4,19.35,5.41,2.54
5,19.71,4.51,1.12
6,20.02,4.63,2.75
7,20.55,4.85,3.08
8,21.37,5.68,4.06
9,19.68,5.39,0.71
10,19.89,5.52,1.01
11,21.14,4.78,4.01
12,20.07,4.31,1.41
13,19.48,4.88,4.04
14,20.31,5.3,2.94
15,20.06,5.65,3.44
16,19.57,5.28,2.18
17,20.4,5.44,3.32
18,20.34,4.8,0.64
19,19.78,4.84,2.6
20,20.65,5.05,3.25
21,19.23,4.79,3.38
22,19.93,5.18,2.55
23,20.04,5.16,3.77
24,20.79,4.44,4.54
25,19.62,5.76,3.82
26,20.29,4.54,1.92
27,20.31,5.51,3.45
28,20.47,4.68,2.1
29,20.36,5.06,4.69
30,20.28,4.95,2.95
31,19.81,4.04,1.8
32,20.37,5.16,2.18
33,20.43,4.4,0.91
34,20.71,3.67,2.83
35,19.44,5.63,2.02
36,19.67,4.64,3.24
37,20.17,4.02,3.47
38,20.22,6.39,4.04
39,20.25,5.51,2.87
40,25.0,9.24,7.06
41,28.42,12.59,7.62
42,31.84,19.45,12.15
43,35.26,17.86,10.49
44,38.68,24.68,16.74
45,42.11,29.92,18.01
46,45.53,35.76,22.05
47,48.95,41.85,26.19
48,52.37,44.32,25.29
49,55.79,48.59,29.18
50,59.21,50.33,32.17
51,62.63,55.49,31.41
52,66.05,63.58,37.7
53,69.47,65.51,40.19
54,72.89,68.09,41.29
55,76.32,74.06,45.23
56,79.74,76.17,45.11
57,83.16,82.03,49.27
58,86.58,84.5,50.89
59,90.0,94.07,56.95
